chunk,path,gap_after,script_text,whisper_text,whisper_sim,el_text,el_sim,el_whisper_sim,chars,expected_len,raw_len,trimmed_len,speech_len,len_status,speech_ratio,longest_gap,silence_padded,repeat,inflation,dup_ratio,status,reason,pacing_status,max_gap,awkward_gaps,rushed_spans,word_gaps
18,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-018-lena.wav,lena,The scanner won't boot. It checks a license at startup; the server stops answer…,The scanner won't boot. It checks a license at startup. The server stops answer…,1.0,,,,595,37.19,34.26,34.26,29.55,OK,0.8624,1.26,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
19,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-019-eli.wav,eli,Who's on it.,Who's on it?,1.0,,,,12,0.75,0.96,0.96,0.66,OK,0.6844,0.3,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
20,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-020-narration.wav,narration,A silence that was not the link.,A silence that was not the link.,1.0,,,,32,2.0,2.12,2.12,1.81,OK,0.8537,0.31,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
21,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-021-lena.wav,lena,"There's a man. Sixty-one. He comes off it in the day, mostly, but he can't hold…","There's a man, 61. He comes off it in the day, mostly, but he can't hold a nigh…",0.9811,,,,393,24.56,19.64,19.64,17.35,OK,0.8832,0.53,False,False,0.988,0.013,OK,,FLAG,0.38,0,2,0
22,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-022-eli.wav,eli,I know.,I know.,1.0,,,,7,0.44,1.0,1.0,0.51,OK,0.5129,0.49,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
23,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-023-lena.wav,lena,Do you.,Do you?,1.0,,,,7,0.44,0.88,0.88,0.88,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
24,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-024-narration.wav,narration,"No cruelty in it. A real question, and she waited for a real answer.","No cruelty in it. A real question, and she waited for a real answer.",1.0,,,,68,4.25,4.72,4.72,3.83,OK,0.8119,0.48,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
25,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-025-lena.wav,lena,"I can hear you doing it. You've got it on a bench in your head. Scanner, med un…","I can hear you doing it. You've got it on a bench in your head. Scanner, med un…",1.0,,,,423,26.44,20.64,20.64,20.64,OK,1.0,0.0,False,False,1.0,0.0,OK,,FLAG,0.44,0,1,0
26,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-026-narration.wav,narration,He did not answer right away. He looked at the three machines sitting in plain …,He did not answer right away. He looked at the three machines sitting in plain …,0.9608,,,,259,16.19,15.2,15.2,12.72,OK,0.837,0.8,False,False,0.962,0.019,OK,,OK,0.62,0,0,0
27,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-027-eli.wav,eli,"It's the same thing, Lena. The towers this morning. The grocery. They dropped u…","It's the same thing, Lena. The towers this morning. The grocery. They dropped u…",0.9907,,,,276,17.25,15.2,15.2,12.65,OK,0.8322,0.86,False,False,0.981,0.0,OK,,FLAG,0.47,0,1,0
28,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-028-lena.wav,lena,I know what it is. I've known what it is for a year. I'm asking you what we do …,I know what it is. I've known what it is for a year. I'm asking you what we do …,1.0,,,,101,6.31,5.48,5.48,5.48,OK,1.0,0.0,False,False,1.0,0.0,OK,,FLAG,0.0,0,1,0
29,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-029-narration.wav,narration,"And here was the place he had been walking toward all morning, without letting …",And here was the place he had been walking toward all morning without letting h…,0.9955,,,,597,37.31,35.9,35.9,28.98,OK,0.8073,1.01,False,False,1.009,0.009,OK,,OK,0.78,0,0,0
30,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-030-narration.wav,narration,"And under it, the thing he could not say to her.",and under it the thing he could not say to her.,1.0,,,,48,3.0,3.0,3.0,3.0,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
31,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-031-eli_thought.wav,eli_thought,The yes on that controller was vouching for something. The calibration. The dos…,The yes on that controller was vouching for something. The calibration. The dos…,1.0,,,,227,14.19,14.52,14.52,9.78,OK,0.6734,0.88,False,False,1.0,0.0,OK,,FLAG,0.55,0,1,0
32,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-032-narration.wav,narration,That was the wall. The doorbell's permission had stood in front of a chime; cut…,"That was the wall. The doorbell's permission had stood in front of a chime, cut…",0.9655,,,,380,23.75,21.6,21.6,18.24,OK,0.8446,0.79,False,False,0.986,0.027,OK,,OK,0.66,0,0,0
33,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-033-narration.wav,narration,"And it was not one controller. Behind the man, a clinic. Behind the clinic, a n…","and it was not one controller. Behind the man, a clinic. Behind the clinic, a n…",0.9748,,,,317,19.81,20.36,20.36,16.77,OK,0.8235,0.6,False,False,0.983,0.017,OK,,OK,0.14,0,0,0
34,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-034-lena.wav,lena,Eli. You went quiet. Tell me you didn't go quiet because there's nothing.,"Eli, you went quiet. Tell me you didn't go quiet because there's nothing.",1.0,,,,73,4.56,5.08,5.08,4.17,OK,0.8211,0.51,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
35,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-035-eli.wav,eli,I'm here. I'm thinking.,I'm here. I'm thinking.,1.0,,,,23,1.44,1.84,1.84,1.31,OK,0.7146,0.53,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
36,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-036-narration.wav,narration,"It was true, and it was not enough, and they both knew it. He told her he would…","It was true, and it was not enough, and they both knew it. He told her he would…",1.0,,,,326,20.38,16.88,16.88,15.77,OK,0.9345,0.63,False,False,1.0,0.0,OK,,FLAG,0.34,0,2,0
37,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-037-eli.wav,eli,I'm coming. A couple of hours. No more.,I'm coming. A couple hours. No more.,0.9412,,,,39,2.44,2.88,2.88,1.88,OK,0.6523,0.69,False,False,0.889,0.0,OK,,OK,0.0,0,0,0
38,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-038-lena.wav,lena,Come now. As soon as you can. Not at midnight.,"Come now, as soon as you can, not at midnight.",1.0,,,,46,2.88,3.44,3.44,3.1,OK,0.902,0.34,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
39,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-039-lena.wav,lena,Eli?,Eli?,1.0,,,,4,0.25,0.8,0.8,0.8,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
41,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-041-narration.wav,narration,The shop was quiet after.,The shop was quiet after.,1.0,,,,25,1.56,1.84,1.84,1.5,OK,0.8156,0.34,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
43,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-043-narration.wav,narration,"Far off, a transformer he could not see held a single low note, the sound of po…","Far off, a transformer he could not see held a single low note, the sound of po…",0.9508,,,,322,20.12,20.72,20.72,16.06,OK,0.7751,1.01,False,False,1.0,0.049,OK,,FLAG,0.81,0,1,0
44,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-044-narration.wav,narration,"He did not move for a while. Under all of it, breathing on a controller that wo…","He did not move for a while. Under all of it, breathing on a controller that wo…",1.0,,,,318,19.88,19.16,19.16,15.9,OK,0.8296,1.02,False,False,1.0,0.0,OK,,OK,0.83,0,0,0
